locus_tag	ftype	length_bp	gene	EC_number	COG	product	GO ID	Type	Function
ACHBFCDE_00001	CDS	729		1.-.-.-	COG4221	putative oxidoreductase	GO:0005886	RC	plasma membrane-
ACHBFCDE_00002	CDS	957	iolS	1.1.1.-	COG0667	Aldo-keto reductase IolS	GO:0005829	UC	cytosol-
ACHBFCDE_00003	CDS	1026	namA	1.6.99.1	COG1902	NADPH dehydrogenase	GO:0009636	RP	response to toxic substance-
ACHBFCDE_00004	CDS	909	rhaS			HTH-type transcriptional activator RhaS	GO:0045893	RP	positive regulation of transcription, DNA-templated-
ACHBFCDE_00005	CDS	243				hypothetical protein			
ACHBFCDE_00006	CDS	678	tetR			Tetracycline repressor protein class A from transposon 1721	GO:0045892	RP	negative regulation of transcription, DNA-templated-
ACHBFCDE_00007	CDS	1200	tetA			Tetracycline resistance protein, class C	GO:0006811	RP	ion transport-
ACHBFCDE_00008	CDS	477				hypothetical protein			
ACHBFCDE_00009	CDS	1149	trfA			Plasmid replication initiator protein TrfA	GO:0006260	UP	DNA replication
ACHBFCDE_00010	CDS	351	ssb		COG0629	Single-stranded DNA-binding protein	GO:0006310	RP	DNA recombination-
ACHBFCDE_00011	CDS	366				hypothetical protein			
ACHBFCDE_00012	CDS	960			COG4962	Putative conjugal transfer protein	GO:0000746	RP	conjugation
ACHBFCDE_00013	CDS	438				hypothetical protein			
ACHBFCDE_00014	CDS	312				hypothetical protein			
ACHBFCDE_00015	CDS	2559	virB4		COG3451	Type IV secretion system protein virB4	GO:0005524	RF	ATP binding-
ACHBFCDE_00016	CDS	759				hypothetical protein			
ACHBFCDE_00017	CDS	894				hypothetical protein			
ACHBFCDE_00018	CDS	483				hypothetical protein			
ACHBFCDE_00019	CDS	1392				hypothetical protein			
ACHBFCDE_00020	CDS	777				hypothetical protein			
ACHBFCDE_00021	CDS	210				hypothetical protein			
ACHBFCDE_00022	CDS	1587				hypothetical protein			
ACHBFCDE_00023	CDS	600				hypothetical protein			
ACHBFCDE_00024	CDS	705				hypothetical protein			
ACHBFCDE_00025	CDS	264				hypothetical protein			
ACHBFCDE_00026	CDS	735				hypothetical protein			
ACHBFCDE_00027	CDS	420				hypothetical protein			
ACHBFCDE_00028	CDS	696	osa			Protein osa			
ACHBFCDE_00029	CDS	663				hypothetical protein			
ACHBFCDE_00030	CDS	624	bin3			Putative transposon Tn552 DNA-invertase bin3	GO:0015074	UP	DNA integration-
ACHBFCDE_00031	CDS	534				hypothetical protein			
ACHBFCDE_00032	CDS	294				hypothetical protein			
ACHBFCDE_00033	CDS	252	parD			Antitoxin ParD	GO:0006355	RP	regulation of transcription, DNA-templated-
ACHBFCDE_00034	CDS	312	parE			Toxin ParE	GO:0007059	RP	chromosome segregation-
ACHBFCDE_00035	CDS	861	neo	2.7.1.95		Aminoglycoside 3'-phosphotransferase	GO:1901158	RP	neomycin biosynthetic process-
ACHBFCDE_00036	CDS	291				hypothetical protein			
ACHBFCDE_00037	CDS	441	traB_1			Protein TraB	GO:0016021	UC	integral component of membrane-
ACHBFCDE_00038	CDS	3186	traC	2.7.7.-		DNA primase TraC	GO:0000746	RP	conjugation
ACHBFCDE_00039	CDS	264				hypothetical protein			
ACHBFCDE_00040	CDS	2214	topB	5.6.2.1		DNA topoisomerase 3	GO:0006265	RP	DNA topological change-
ACHBFCDE_00041	CDS	534				hypothetical protein			
ACHBFCDE_00042	CDS	1908	traG			Conjugal transfer protein TraG	GO:0000746	RP	conjugation
ACHBFCDE_00043	CDS	2199	traI			Protein TraI	GO:0000746	RP	conjugation
ACHBFCDE_00044	CDS	372	traJ			Protein TraJ	GO:0000746	RP	conjugation
ACHBFCDE_00045	CDS	405	traK			Protein TraK	GO:0000746	RP	conjugation
ACHBFCDE_00046	CDS	726	traL			Protein TraL	GO:0000746	RP	conjugation
ACHBFCDE_00047	CDS	438	traM			Protein TraM	GO:0000746	RP	conjugation
