locus_tag	ftype	length_bp	gene	EC_number	COG	product
GNHEAOBH_00001	CDS	240				hypothetical protein
GNHEAOBH_00002	CDS	405				hypothetical protein
GNHEAOBH_00003	CDS	426	klcA			Antirestriction protein KlcA
GNHEAOBH_00004	CDS	441	umuD	3.4.21.-	COG1974	Protein UmuD
GNHEAOBH_00005	CDS	1266	umuC		COG0389	Protein UmuC
GNHEAOBH_00006	CDS	792				hypothetical protein
GNHEAOBH_00007	CDS	342				hypothetical protein
GNHEAOBH_00008	CDS	720	repE			Replication initiation protein
GNHEAOBH_00009	CDS	837				hypothetical protein
GNHEAOBH_00010	CDS	510				hypothetical protein
GNHEAOBH_00011	CDS	297				hypothetical protein
GNHEAOBH_00012	CDS	285				hypothetical protein
GNHEAOBH_00013	CDS	180				hypothetical protein
GNHEAOBH_00014	CDS	321				hypothetical protein
GNHEAOBH_00015	CDS	345				hypothetical protein
GNHEAOBH_00016	CDS	369				hypothetical protein
GNHEAOBH_00017	CDS	717				hypothetical protein
GNHEAOBH_00018	CDS	420				hypothetical protein
GNHEAOBH_00019	CDS	417				hypothetical protein
GNHEAOBH_00020	CDS	1530	traD			Coupling protein TraD
GNHEAOBH_00021	CDS	3237	recD2	3.6.4.12		ATP-dependent RecD-like DNA helicase
GNHEAOBH_00022	CDS	627				hypothetical protein
GNHEAOBH_00023	CDS	249				hypothetical protein
GNHEAOBH_00024	CDS	1797				Tn3 family transposase TnAs1
GNHEAOBH_00025	CDS	885				hypothetical protein
GNHEAOBH_00026	CDS	1200	tetA			Tetracycline resistance protein, class C
GNHEAOBH_00027	CDS	678	tetR			Tetracycline repressor protein class A from transposon 1721
GNHEAOBH_00028	CDS	378				hypothetical protein
GNHEAOBH_00029	CDS	996			COG0630	Type IV secretion system protein VirB11
GNHEAOBH_00030	CDS	1161				Protein virB10
GNHEAOBH_00031	CDS	885	virB9			Type IV secretion system protein virB9
GNHEAOBH_00032	CDS	699	virB8			Type IV secretion system protein virB8
GNHEAOBH_00033	CDS	1041				hypothetical protein
GNHEAOBH_00034	CDS	228				hypothetical protein
GNHEAOBH_00035	CDS	714	virB5			Type IV secretion system protein virB5
GNHEAOBH_00036	CDS	2601	virB4			Type IV secretion system protein virB4
GNHEAOBH_00037	CDS	318				hypothetical protein
GNHEAOBH_00038	CDS	294				hypothetical protein
GNHEAOBH_00039	CDS	282				hypothetical protein
GNHEAOBH_00040	CDS	735				hypothetical protein
GNHEAOBH_00041	CDS	306				hypothetical protein
GNHEAOBH_00042	CDS	378				hypothetical protein
GNHEAOBH_00043	CDS	315				hypothetical protein
GNHEAOBH_00044	CDS	312				hypothetical protein
GNHEAOBH_00045	CDS	642				hypothetical protein
GNHEAOBH_00046	CDS	198				hypothetical protein
GNHEAOBH_00047	CDS	1434	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
GNHEAOBH_00048	CDS	1215	ecoRIIR	3.1.21.4		Type-2 restriction enzyme EcoRII
GNHEAOBH_00049	CDS	597	hin		COG1961	DNA-invertase hin
