locus_tag	ftype	length_bp	gene	EC_number	COG	product	GO ID	Type	Function
EAPLMMIH_00001	CDS	435				ISL3 family transposase ISStma11			
EAPLMMIH_00002	CDS	351	merT			Mercuric transport protein MerT	GO:0016021	RC	integral component of membrane-
EAPLMMIH_00003	CDS	276	merP			Mercuric transport protein periplasmic component	GO:0042597	RC	periplasmic space-
EAPLMMIH_00004	CDS	423	merC			Mercuric transport protein MerC	GO:0016021	UC	integral component of membrane-
EAPLMMIH_00005	CDS	1695	merA	1.16.1.1		Mercuric reductase	GO:0045454	RP	cell redox homeostasis-
EAPLMMIH_00006	CDS	363				hypothetical protein			
EAPLMMIH_00007	CDS	237				hypothetical protein			
EAPLMMIH_00008	CDS	708			COG2200	putative signaling protein	GO:0071732	RP	cellular response to nitric oxide-
EAPLMMIH_00009	CDS	1680				hypothetical protein			
EAPLMMIH_00010	CDS	861				hypothetical protein			
EAPLMMIH_00011	CDS	1545				IS3 family transposase IS1353			
EAPLMMIH_00012	CDS	1515				hypothetical protein			
EAPLMMIH_00013	CDS	786				IS21 family transposase IS1326			
EAPLMMIH_00014	CDS	501				hypothetical protein			
EAPLMMIH_00015	CDS	840	folP	2.5.1.15	COG0294	Dihydropteroate synthase	GO:0046656	RP	folic acid biosynthetic process-
EAPLMMIH_00016	CDS	348	emrE		COG2076	Multidrug transporter EmrE	GO:0042221	UP	response to chemical-
EAPLMMIH_00017	CDS	780	ant1	2.7.7.47		Streptomycin 3''-adenylyltransferase	GO:0046677	UP	
EAPLMMIH_00018	CDS	1014	xerC			Tyrosine recombinase XerC	GO:0007049	RP	cell cycle-
EAPLMMIH_00019	CDS	201				hypothetical protein			
EAPLMMIH_00020	CDS	561	hin		COG1961	DNA-invertase hin	GO:0015074	UP	DNA integration-
EAPLMMIH_00021	CDS	2967				Tn3 family transposase TnAs3			
EAPLMMIH_00022	CDS	378				hypothetical protein			
EAPLMMIH_00023	CDS	660	cat	2.3.1.28		Chloramphenicol acetyltransferase	GO:0046677	RP	
EAPLMMIH_00024	CDS	276			COG1662	IS1 family transposase IS1D			
EAPLMMIH_00025	CDS	378			COG1662	IS1 family transposase IS1R			
EAPLMMIH_00026	CDS	237				hypothetical protein			
EAPLMMIH_00027	CDS	282				hypothetical protein			
EAPLMMIH_00028	CDS	354	stbB			Protein StbB	GO:0000287	UF	magnesium ion binding-
EAPLMMIH_00029	CDS	963	parM			Plasmid segregation protein ParM	GO:0030541	UP	plasmid partitioning
EAPLMMIH_00030	CDS	684	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ	GO:0008080	UF	N-acetyltransferase activity-
EAPLMMIH_00031	CDS	222				hypothetical protein			
EAPLMMIH_00032	CDS	435				hypothetical protein			
EAPLMMIH_00033	CDS	828				hypothetical protein			
EAPLMMIH_00034	CDS	426	klcA			Antirestriction protein KlcA			
EAPLMMIH_00035	CDS	423				hypothetical protein			
EAPLMMIH_00036	CDS	192				hypothetical protein			
EAPLMMIH_00037	CDS	231				hypothetical protein			
EAPLMMIH_00038	CDS	1362				hypothetical protein			
EAPLMMIH_00039	CDS	564				hypothetical protein			
EAPLMMIH_00040	CDS	261				hypothetical protein			
EAPLMMIH_00041	CDS	528	ssb			Plasmid-derived single-stranded DNA-binding protein	GO:0006310	RP	DNA recombination-
EAPLMMIH_00042	CDS	234				hypothetical protein			
EAPLMMIH_00043	CDS	1422	noc			Nucleoid occlusion protein			
EAPLMMIH_00044	CDS	1209			COG3385	IS4 family transposase ISVsa5			
EAPLMMIH_00045	CDS	126				hypothetical protein			
EAPLMMIH_00046	CDS	105				hypothetical protein			
EAPLMMIH_00047	CDS	1206	gltS		COG0786	Sodium/glutamate symporter	GO:0015813	RP	L-glutamate transmembrane transport-
EAPLMMIH_00048	CDS	321	yqjZ		COG2329	putative protein YqjZ			
EAPLMMIH_00049	CDS	387				hypothetical protein			
EAPLMMIH_00050	CDS	624				hypothetical protein			
EAPLMMIH_00051	CDS	624	tetR			Tetracycline repressor protein class B from transposon Tn10	GO:0045892	RP	negative regulation of transcription, DNA-templated-
