locus_tag	ftype	length_bp	gene	EC_number	COG	product	GO ID	Type	Function
GADIBNOC_00001	CDS	978	repB			RepFIB replication protein A	GO:0006260	RP	DNA replication
GADIBNOC_00002	CDS	120				hypothetical protein			
GADIBNOC_00003	CDS	741	xerC			Tyrosine recombinase XerC	GO:0007049	RP	cell cycle-
GADIBNOC_00004	CDS	903				hypothetical protein			
GADIBNOC_00005	CDS	1110				hypothetical protein			
GADIBNOC_00006	CDS	954	ompT	3.4.23.49	COG4571	Protease 7	GO:0009279	UC	cell outer membrane-
GADIBNOC_00007	CDS	102				hypothetical protein			
GADIBNOC_00008	CDS	264				hypothetical protein			
GADIBNOC_00009	CDS	327				IS3 family transposase IS629			
GADIBNOC_00010	CDS	888				IS3 family transposase IS629			
GADIBNOC_00011	CDS	174				hypothetical protein			
GADIBNOC_00012	CDS	291				hypothetical protein			
GADIBNOC_00013	CDS	1182	macA		COG0845	Macrolide export protein MacA	GO:0046677	RP	
GADIBNOC_00014	CDS	1941	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB	GO:0046677	RP	
GADIBNOC_00015	CDS	1308	tdeA		COG1538	Toxin and drug export protein A	GO:0016021	UC	integral component of membrane-
GADIBNOC_00016	CDS	189				hypothetical protein			
GADIBNOC_00017	CDS	228				hypothetical protein			
GADIBNOC_00018	CDS	942				hypothetical protein			
GADIBNOC_00019	CDS	387				hypothetical protein			
GADIBNOC_00020	CDS	867				ISNCY family transposase ISBcen27			
GADIBNOC_00021	CDS	312				hypothetical protein			
GADIBNOC_00022	CDS	1242	yciC		COG0523	Putative metal chaperone YciC	GO:0016021	RC	integral component of membrane-
GADIBNOC_00023	CDS	906				IS3 family transposase IS2			
GADIBNOC_00024	CDS	366				hypothetical protein			
GADIBNOC_00025	CDS	294				hypothetical protein			
GADIBNOC_00026	CDS	291				IS481 family transposase ISKpn28			
GADIBNOC_00027	CDS	561				hypothetical protein			
GADIBNOC_00028	CDS	1116	elmGT	2.4.1.331		Elloramycin glycosyltransferase ElmGT	GO:0017000	UP	
GADIBNOC_00029	CDS	3660		3.6.3.-	COG1132	Multidrug efflux ATP-binding/permease protein	GO:0046677	RP	
GADIBNOC_00030	CDS	1230	fes		COG2382	Enterochelin esterase	GO:0006826	RP	iron ion transport-
GADIBNOC_00031	CDS	957				hypothetical protein			
GADIBNOC_00032	CDS	2178	pfeA		COG4771	Ferric enterobactin receptor	GO:0042930	UP	enterobactin transport-
GADIBNOC_00033	CDS	1035	aroH	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	GO:0009073	RP	aromatic amino acid family biosynthetic process-
GADIBNOC_00034	CDS	294				hypothetical protein			
GADIBNOC_00035	CDS	183				hypothetical protein			
GADIBNOC_00036	CDS	198				hypothetical protein			
GADIBNOC_00037	CDS	96				hypothetical protein			
GADIBNOC_00038	CDS	1275	cvaA		COG0845	Colicin V secretion protein CvaA	GO:0043213	UP	bacteriocin transport-
GADIBNOC_00039	CDS	2097	apxIB		COG2274	Toxin RTX-I translocation ATP-binding protein	GO:0044179	UP	hemolysis in other organism-
GADIBNOC_00040	CDS	312	cvaC			Colicin-V	GO:0019835	UP	cytolysis-
GADIBNOC_00041	CDS	207				hypothetical protein			
GADIBNOC_00042	CDS	408	ntdC	1.1.1.361	COG0673	Glucose-6-phosphate 3-dehydrogenase	GO:0103074	UF	glucose-6-phosphate 3-dehydrogenase activity-
GADIBNOC_00043	CDS	405				hypothetical protein			
GADIBNOC_00044	CDS	270				Sugar transporter SemiSWEET	GO:0008643	RP	carbohydrate transport-
GADIBNOC_00045	CDS	267				hypothetical protein			
GADIBNOC_00046	CDS	453	fdtC	2.3.1.197		dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose 3-N-acetyltransferase	GO:0016746	UF	acyltransferase activity-
GADIBNOC_00047	CDS	261				hypothetical protein			
GADIBNOC_00048	CDS	591				hypothetical protein			
GADIBNOC_00049	CDS	1578	aer		COG0840	Aerotaxis receptor	GO:0030655	RP	
GADIBNOC_00050	CDS	561	hin		COG1961	DNA-invertase hin	GO:0015074	UP	DNA integration-
GADIBNOC_00051	CDS	2967				Tn3 family transposase TnAs1			
GADIBNOC_00052	CDS	243				hypothetical protein			
